app_name,developer_info,website_info,app_status,start_date,end_date,app_description,indication_codes,indication_names,price,property_values,price_averaged,indication_names_translated,app_description_translated
CANKADO PRO-React Onco,"CANKADO GmbH, Deutschland",partners.cankado.com/about/,vorläufig aufgenommen,03.05.2021,02.05.2023,"PRO-React Onco ist eine Web- und App-basierte digitale Gesundheitsanwendung zur Unterstützung von Brustkrebspatientinnen und -patienten. Mit PRO-React Onco können Patientinnen und Patienten Ihre Beschwerden eigenständig erfassen. In Abhängigkeit zur Erkrankung und der laufenden Therapie werden automatisiert Verhaltenshinweise gegeben, wie dringend die jeweilige Beschwerde mit dem behandelnden Arzt oder der behandelnden Ärztin besprochen werden muss.",C50,Bösartige Neubildung der Brustdrüse Mamma,399.84,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 13 weitere",399.84,Malignant neuformation of the mamma breast,"PRO-React Onco is a web- and app-based digital health application to support breast cancer patients. With PRO-React Onco, patients can independently record their symptoms. Depending on the illness and the ongoing therapy, automated behavioral instructions are given on how urgently the respective complaint needs to be discussed with the treating physician or the treating physician."
Cara Care für Reizdarm,"HiDoc Technologies GmbH, Deutschland",cara.care/de/about/,vorläufig aufgenommen,26.12.2021,25.11.2023,"Cara Care für Reizdarm ist eine digitale Gesundheitsanwendung zur Therapie des Reizdarmsyndroms. Die Anwendung dient primär zur Symptomreduktion funktioneller gastrointestinaler Beschwerden. Sekundär sollen krankheitsbezogene Lebensqualität und Gesundheitskompetenz gesteigert, Ängstlichkeit und Depressivität gelindert sowie krankheitsbezogene Arbeits- und Aktivitätseinschränkungen verbessert werden.-Diese Wirkungen werden über ein multimodales Selbsthilfekonzept innerhalb der Anwendung erzielt:Personalisierte Inhalte basierend auf leitlinienkonformen Therapieverfahren aus den Bereichen Ernährung (low-FODMAP-Diät) und Psychotherapie (kognitive Verhaltenstherapie sowie Darm-gerichtete Hypnotherapie) bewirken Änderungen von Lebensstil, Kognitionen, Emotionen und Verhalten, die sich positiv auf die bekannten Pathomechanismen des Reizdarmsyndroms auswirken.Im Rahmen einer Mindestnutzungsdauer von 12 Wochen erarbeiten sich die Nutzenden personalisierte Inhalte in Eigenregie. Dies wird durch multimediale und interaktive Inhalte unterstützt. So erhalten die Nutzenden über das Tracking von Symptomen und Lebensstilfaktoren sowie durch die erneute Abfrage von Symptom- und Lebensqualitätsscores Feedback zum Behandlungsfortschritt, erfahren pädagogische Unterstützung durch regelmäßige Abfrage psychoedukativen Wissens oder setzen sich persönliche Ziele innerhalb der Anwendung.-Cara Care für Reizdarm dient zur alleinstehenden Therapie des Reizdarmsyndroms.","K58, K58.1, K58.2, K58.3, K58.8","Reizdarmsyndrom, Reizdarmsyndrom, Diarrhoe-prädominant RDS-D, Reizdarmsyndrom, Obstipations-prädominant RDS-O, Reizdarmsyndrom mit wechselnden (gemischten) Stuhlgewohnheiten RDS-M, Sonstiges und nicht näher bezeichnetes Reizdarmsyndrom",718.20,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",718.2,"Irritable bowel syndrome, Irritable bowel syndrome, Diarrhoea-predominant RDS-D, Irritable bowel syndrome, Obstipation-predominant RDS-O, Irritable bowel syndrome with changing (mixed) stool habits RDS-M, Other and unspecified Irritable bowel syndrome","Cara Care for Irritable Intestinal is a digital health application for the treatment of Irritable Intestinal Syndrome. The application is primarily used to reduce symptoms of functional gastrointestinal symptoms. Secondary, disease-related quality of life and health competence are to be increased, anxiety and depressivity reduced, and disease-related work and activity restrictions are to be improved.-These effects are achieved through a multimodal self-help concept within the application:Personalized content based on low-FODMAP diet and psychotherapy (cognitive behavioural therapy and gut-oriented hypnotherapy) cause changes in lifestyle, cognitives, emotions and behaviour, which have a positive effect on the well-known pathomechanics of Irritable Intestinal Syndrome.As part of a minimum usage period of 12 weeks, users develop personalized content in self-direction. This is supported by multimedia and interactive content."
companion patella powered by medi - proved by Dt. Kniegesellschaft,"PrehApp GmbH, Deutschland",prehapp.de,vorläufig aufgenommen,04.10.2021,03.03.2023,"companion patella powered by medi - proved by Dt. Kniegesellschaft ist eine Digitale Gesundheitsanwendung für Patientinnen und Patienten mit Vorderem Knieschmerz im Alter von 14- 65 Jahren. Basierend auf persönlichen Angaben des Anwenders zu Schmerz- und Belastungsempfinden, wird der bewegungstherapeutische Trainingsplan im Verlauf der Therapie kontinuierlich an die individuellen Bedürfnisse des Nutzers angepasst. Den Patienten steht neben dem Trainingsbereich eine Fachbibliothek mit Beiträgen zu ihrem Erkrankungsbild zur Verfügung, die diese edukativ unterstützt. Daten zu Schmerz und Funktionseinschränkungen werden innerhalb der Anwendung regelmäßig erfasst und für die Patienten und deren behandelnde Ärzte graphisch aufbereitet. Die Therapie wurde in Zusammenarbeit mit den Fachspezialisten des Komitees Patellofemoral der Deutschen Kniegesellschaft entwickelt und validiert. Die Anwendungsdauer beträgt 90 Tage.","M22.2, M22.4, M76.5, M79.66, S83.0","Krankheiten im Patellofemoralbereich, Chondromalacia patellae, Tendinitis der Patellarsehne, Schmerzen in den Extremitäten: Unterschenkel Fibula, Tibia, Kniegelenk, Luxation der Patella",345.10,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",345.1,"Patellofemoral diseases, chondromalacia patellae, patella tendon tendinitis, pain in extremities: lower leg fibula, tibia, knee joint, luxation of patella","companion patella powered by medi - proven by Dt. Kniegesellschaft is a digital health application for patients with fore knee pain aged 14- 65 years. Based on the user's personal information on pain and stress perception, the movement therapeutic training plan is continuously adapted to the individual needs of the user during the course of the therapy. In addition to the training area, the patients have a specialist library with contributions to their picture of illness, which supports them. Data on pain and functional limitations are regularly recorded within the application and graphically prepared for the patients and their treating physicians. The therapy was developed and validated in cooperation with the specialists of the committee Patellofemoral of the Deutsche Kniegesellschaft. The duration of application is 90 days."
deprexis,"GAIA AG, Deutschland",gaia-group.com/de/,Dauerhaft aufgenommen,,,"deprexis ist ein interaktives onlinebasiertes Selbsthilfeprogramm zur Therapieunterstützung von Patienten mit Depressionen und depressiven Verstimmungen, die mindestens 18 Jahre alt sind. Das Programm soll in Ergänzung zu einer sonst üblichen Behandlung (zum Beispiel beim Haus-, Facharzt oder Psychotherapeuten) eingesetzt werden. deprexis basiert auf etablierten psychotherapeutischen Ansätzen und Verfahren insbesondere der kognitiven Verhaltenstherapie (KVT). Die Wirksamkeit von deprexis wurde in mehreren klinischen Studien untersucht. In diesen Studien zeigte sich, dass Patienten, die zusätzlich zu einer üblichen medizinischen Versorgung deprexis nutzten, deutlich weniger depressive Beschwerden hatten als Patienten, die nur eine übliche medizinische Versorgung erhielten. Die Verordnungsdauer von deprexis beträgt 90 Tage.","F32.0, F32.1, F32.2, F33.0, F33.1, F33.2","Leichte depressive Episode, Mittelgradige depressive Episode, Schwere depressive Episode ohne psychotische Symptome, Rezidivierende depressive Störung, gegenwärtig leichte Episode, Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode, Rezidivierende depressive Störung, gegenwärtig schwere Episode ohne psychotische Symptome",210.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 8 weitere",210.0,"Mild depressive episode, moderate depressive episode, severe depressive episode without psychotic symptoms, recurrent depressive disorder, currently mild episode, recurrent depressive disorder, currently moderate episode, recurrent depressive disorder, currently severe episode without psychotic symptoms","deprexis is an interactive online self-help program to support patients with depression and depressive moods who are at least 18 years old. The program is to be used in addition to a usual treatment (e.g. in the home, specialist or psychotherapist). deprexis is based on established psychotherapeutic approaches and procedures in particular cognitive behavioral therapy (KVT). The effectiveness of deprexis has been studied in several clinical studies. In these studies, it was shown that patients who used deprexis in addition to normal medical care had significantly less depressive symptoms than patients who received only standard medical care. The prescription duration of deprexis is 90 days."
edupression.com®,"SOFY GmbH, Österreich",edupression.com/,vorläufig aufgenommen,26.12.2022,25.08.2023,"Die DiGA edupression.com® besteht aus dem Medizinprodukte System, edupression.com® System, mit den Medizinprodukten edupression.com® Psychoedukation und edupression.com® Stimmungsdiagramm. Das System ist eine webbasierte Software, die plattformunabhängig mittels gängiger Browser mit Internetverbindung ab- und aufgerufen werden kann (Software-as-a-Service).Die Anwendung leitet Patientinnen und Patienten entlang des “Activity Feeds” durch das Programm und spielt täglich multimedial aufbereitete Informationen und Übungen aus der Psychodedukation zur Selbsthilfe aus. Außerdem enthält sie Elemente der computerbasierten kognitiven Verhaltenstherapie. Wöchentlich können von Patientinnen und Patienten sogenannte Wochenziele bestimmt werden, für die im Laufe der Woche vertiefende Informationen und Empfehlungen für Patientinnen und Patienten angezeigt werden. Patientinnen und Patienten werden täglich erinnert, das Stimmungsdiagramm in Form einer kurzen Umfrage mit Ja/Nein Fragen, auszufüllen und so ihre Stimmung aufzuzeichnen. Berichte geben den Verlauf der Eingaben über die Zeit wieder, so wird Patienten das Stimmungsdiagramm visualisiert oder Ergebnisse aus dem PHQ-9 Fragebogen. Die Berichte können interaktiv angezeigt werden oder sind als portables Datenformat verfügbar. Durch spielerische Elemente werden die Patientinnen und Patienten ermuntert und “belohnt”, der Gesundheitsanwendung weiter zu folgen (Aktivitätspunkte, Abzeichen, Zeugnisse, Summe der Zeit im Programm usw. als Gamification). Eddy, der Therapie-Avatar, begleitet optisch in der Anwendung die Patientinnen und Patienten auf ihrem Weg. In Videos lernen Patientinnen und Patienten Alice kennen, die an einer Depression leidet und durchleben mit ihr den Weg zur Genesung. Zu jedem Kapitel gibt es Booklets im portablen Datenformat (pdf) zum Download zum Nachlesen.","F32.0, F32.1, F33.0, F33.1","Leichte depressive Episode, Mittelgradige depressive Episode, Rezidivierende depressive Störung, gegenwärtig leichte Episode, Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode",178.50 - 357.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 1 weitere",267.75,"Mild depressive episode, intermediate depressive episode, recurrent depressive disorder, currently mild episode, recurrent depressive disorder, currently moderate episode","The DipdfGA edupression.com® consists of the Medical Device System, edupression.com® System, with the Medical Devices edupression.com® Psychoedukation and edupression.com® Mood Chart. The system is a web-based software that can be downloaded and accessed platform-independently by means of a common browser with Internet connection (software-as-a-service).The application guides patients along the "
elevida,"GAIA AG, Deutschland",gaia-group.com/de/,Dauerhaft aufgenommen,,,"elevida ist eine digitale Gesundheitsanwendung für Menschen mit einer Multiplen Sklerose, bei denen zusätzlich eine Fatigue vorliegt und die mindestens 18 Jahre alt sind. Von einer Fatigue spricht man dann, wenn eine anhaltende Müdigkeit oder Erschöpfung besteht.elevida verfolgt das Ziel, die Fatigue zu reduzieren. Das Programm soll in Ergänzung zu einer sonst üblichen Behandlung (zum Beispiel beim Haus- oder Facharzt) eingesetzt werden.elevida basiert auf etablierten psychotherapeutischen Ansätzen und Verfahren insbesondere der kognitiven Verhaltenstherapie (KVT).elevida ist zur Eigenanwendung durch den Patienten für 180 Tage bestimmt. Die Wirksamkeit von elevida wurde in einer klinischen Studie untersucht und in einer wissenschaftlichen Fachzeitschrift veröffentlicht. An dieser Studie nahmen 275 Patienten teil, die an einer Multiplen Sklerose und zusätzlich auch an einer Fatigue litten. In dieser Studie zeigte sich, dass bei Patienten, die zusätzlich zu einer sonst üblichen Behandlung elevida nutzten, die Fatigue deutlich stärker abgenommen hatte als bei Patienten, die nur eine sonst übliche Behandlung erhielten. Die Verordnungsdauer von elevida beträgt 90 Tage. Zur Stabilisierung der Effekte ist eine Nutzung für 180 Tage empfohlen.",G35,Multiple Sklerose Encephalomyelitis disseminata,243.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 1 weitere",243.0,Multiple sclerosis Encephalomyelitis disseminate,"elevida is a digital health application for people with multiple sclerosis who have an additional fatigue and who are at least 18 years old. Fatigue is a term used when there is persistent fatigue or fatigue. elevida aims to reduce fatigue. The program is intended to be used in addition to a usual treatment (e.g. in the home or specialist). elevida is based on established psychotherapeutic approaches and procedures, especially cognitive behavioral therapy (KVT). elevida is intended for self-administration by the patient for 180 days. elevida's efficacy was studied in a clinical study and published in a scientific journal. In this study, 275 patients who were suffering from multiple sclerosis and in addition to a fatigue. This study showed that in patients who used elevida in addition to a usual treatment, Fatigue had decreased significantly more than in patients who received only usual treatment. elevida's prescription duration is 90 days. In order to stabilise the effects, it is recommended to use 180 days."
elona therapy Depression,"Elona Health GmbH, Deutschland",www.elona.health,vorläufig aufgenommen,26.12.2022,25.12.2023,"elona therapy Depression ist die digitale Gesundheitsanwendung für eine verzahnte ambulante Psychotherapie, die digitale Interventionen und die reguläre Gesprächstherapie intelligent verbindet und so die Behandlung der unipolaren Depression unterstützt. Patientinnen und Patienten stehen mit elona therapy Interventionen, hilfreiche Aktivitäten, Übungen und psychoedukative Inhalte auch über die Therapiesitzung hinaus zur Verfügung, sodass Patientinnen und Patienten zwischen den Therapiesitzungen einen einfachen Zugang zu zugeschnittenen psychotherapeutischen Ressourcen haben.-elona therapy Depression ermittelt auf Basis des Therapiefortschrittes der Patientinnen und Patienten einen wöchentlichen Therapieplan. Anhand von psychometrischen Fragebögen und Übungen sowie deren Auswertung werden die Inhalte auf die Bedürfnisse der Betroffenen individualisiert. Zusätzlich können Leistungserbringende das Erlebnis in elona therapy weiter auf den Therapiefortschritt ihrer Patientinnen und Patienten anpassen und zusätzliche Ressourcen freischalten, um eine bestmögliche Verzahnung, aber auch die Sicherheit ihrer Patientinnen und Patienten zu gewährleisten. Übungen können gezielt der Wiederholung von Inhalten, der Vertiefung des Wissens oder der Umsetzung von konkreten Aufgaben im Alltag dienen. Durch die Verzahnung kann die Psychotherapie intensiviert und die Übertragung der Therapieinhalte in den Alltag gesteigert werden, um so Fortschritte in der Behandlung der Depression über die Regelversorgung hinaus zu erzielen.-Versorgungspfad: Therapiebegleitung","F32.0, F32.1, F32.2, F33.0, F33.1, F33.2, F34.1","Leichte depressive Episode, Mittelgradige depressive Episode, Schwere depressive Episode ohne psychotische Symptome, Rezidivierende depressive Störung, gegenwärtig leichte Episode, Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode, Rezidivierende depressive Störung, gegenwärtig schwere Episode ohne psychotische Symptome, Dysthymia",535.49,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",535.49,"Mild depressive episode, moderate depressive episode, severe depressive episode without psychotic symptoms, recurrent depressive disorder, currently mild episode, recurrent depressive disorder, currently moderate episode, recurrent depressive disorder, currently severe episode without psychotic symptoms, dysthymia","elona therapy Depression is the digital health application for intertwined outpatient psychotherapy, which intelligently combines digital interventions and regular conversational therapy, thus supporting the treatment of unipolar depression. Patients are provided with elona therapy interventions, helpful activities, exercises and psycho-educative content even beyond the therapy session, so that patients and patients between the therapy sessions have easy access to tailored psychotherapeutic resources.-elona therapy Depression determines a weekly therapy plan based on the patient's progress in therapy. Based on psychometric questionnaires and exercises and their evaluation, the content is individualised to the needs of the patients concerned. In addition, service providers can further adapt the experience in elona therapy to the progress of their patients' therapy and unlock additional resources in order to ensure the best possible intertwining, but also to ensure the safety of their patients. Exercises can specifically serve the repetition of content, the deepening of knowledge or the implementation of concrete tasks in everyday life. Through intertwining, psychotherapy can be intensified and the transmission of the therapy content increased in everyday life, thus achieving progress in the management of the treatment."
Endo-App,"Endo Health GmbH, Deutschland",diga.endometriose.app,vorläufig aufgenommen,09.10.2022,08.10.2023,"Die Endo-App ist ein digitales Medizinprodukt zur multimodalen Unterstützung von Endometriose-Betroffenen. Ziel des Programms ist es, die Nutzerinnen dabei zu unterstützen, im Rahmen des Selbstmanagements ihre Lebensqualität zu verbessern. Das Selbstmanagementkonzept beruht grundlegend auf einem Symptomtagebuch, in dem Nutzerinnen ihre Symptome, Aktivitäten, Übungen und ihre Behandlungen dokumentieren können, sowie auf multimodalen Inhalten. Als Teil der multimodalen Therapie werden wissensvermittelnde Elemente, validierte Fragebögen, geführte Übungen und Techniken aus dem Bereich Gynäkologie, Physiotherapie, Psychologie, Schmerztherapie, Rehabilitation, Sozialpädagogik, Ernährung, Ressourcenaktivierung sowie Resilienzstärkung zur Verfügung gestellt.",N80,Endometriose,598.95,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",598.95,Endometriosis,"The Endo app is a digital medical device for the multimodal support of endometriosis sufferers. The aim of the program is to help the users improve their quality of life in the context of self-management. The self-management concept is fundamentally based on a symptom diary in which users can document their symptoms, activities, exercises and treatments, as well as on multimodal content. As part of the multimodal therapy, knowledge-mediating elements, validated questionnaires, guided exercises and techniques in the fields of gynecology, physiotherapy, psychology, pain therapy, rehabilitation, social pedagogy, nutrition, resource activation and resilience enhancement are provided."
HelloBetter Diabetes und Depression,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",hellobetter.de/,Dauerhaft aufgenommen,,,"HelloBetter Diabetes und Depression ist ein interaktives psychologisches Therapieprogramm zur Reduktion der depressiven Symptomschwere bei Personen mit Diabetes Mellitus Typ 1 oder Typ 2. Anhand einer randomisiert kontrollierten Studie konnte gezeigt werden, dass mit der Teilnahme an diesem Online-Programm depressive Symptomatik wirksam reduziert werden kann. Der 12-wöchige Online-Kurs vermittelt neben fundierter Psychoedukation mittels Texten, Videos und Audios, wirksame Strategien aus der kognitiven Verhaltenstherapie (KVT), u.a. Verhaltensaktivierung und Problemlösetechniken. Darüber hinaus werden diabetesspezifische Themen wie die Gestaltung eines vertrauensvollen ärztlichen Gesprächs, Umgang und Auswirkungen von Diabetes auf die Partnerschaft, der Umgang mit Grübelgedanken rund um die Erkrankung thematisiert sowie diabetes-spezifische Themen wie z.B. Ernährung, Bewegung und gesunder Schlaf thematisiert. Alle Inhalte wurden dabei zielgruppenspezifisch für Betroffene mit Diabetes Mellitus Typ 1 oder Typ 2 angepasst.          Zusätzlich gibt es ein Online-Tagebuch, eine Begleit-App und wiederholte Symptom-Checks, um die eigenen Fortschritte festhalten, beobachten und auswerten zu können. Es wird in allen Angeboten großen Wert auf die Patientensicherheit gelegt. Daher steht Betroffenen jederzeit, insbesondere in Krisensituationen, ein persönlicher, geschulter Psychologe zur Seite. Zu jeder Einheit des Kurses erhalten Betroffene innerhalb von 24 Stunden eine schriftliche Rückmeldung des persönlichen Psychologen. Zusätzlich steht der persönliche Psychologe über eine Nachrichtenfunktion bei Fragen zur Anwendung zur Verfügung. HelloBetter Diabetes und Depression kann dabei zusätzlich zur Standardversorgung eingesetzt werden.","E10, E11","Diabetes mellitus, Typ 1, Diabetes mellitus, Typ 2",222.99,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",222.99,"Diabetes mellitus, type 1, diabetes mellitus, type 2","HelloBetter Diabetes and Depression is an interactive psychological therapy program to reduce depressive symptoms in people with type 1 or type 2 diabetes Mellitus. A randomized controlled study has shown that depressive symptoms can be effectively reduced with participation in this online program. In addition to profound psychoeducation using texts, videos and audios, effective strategies from cognitive behavioral therapy (KVT), including behavior activation and problem solving techniques, the 12-week online course also provides information on diabetes-specific topics such as the design of a trustful medical consultation, handling and impact of diabetes on the partnership, the handling of globular thoughts around the disease, as well as diabetes-specific topics such as nutrition, movement and healthy sleep. All content has been specifically adapted for those with diabetes Mellitus type 1 or type 2 diabetes. In addition, there is an online diary, an accompanying app and repeated symptom checks to record, monitor and evaluate their progress, and be able to provide additional information on the use of each patient's treatment. For this reason, there is a high level of benefit to the patient."
HelloBetter Panik,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",hellobetter.de/,Dauerhaft aufgenommen,,,"HelloBetter Panik ist ein interaktives psychologisches Therapieprogramm zur Behandlung und Reduzierung der Symptomschwere einer Panikstörung und Agoraphobie mit Panikstörung. Anhand einer randomisiert kontrollierten Studie konnte der Nachweis eines positiven Versorgungseffekts für Patientinnen und Patienten mit psychotherapeutischer Vorerfahrung erbracht werden. Der 12-wöchige Online-Kurs vermittelt fundierte Psychoedukation in Texten, Videos und Audios sowie wirksame Strategien aus der kognitiven Verhaltenstherapie (KVT). Dazu gehören unter anderem wiederholte Konfrontationen mit inneren und äußeren angstauslösenden Reizen, kognitive Umstrukturierung, Entspannungsübungen und eine Rückfallprophylaxe. Darüber hinaus gibt es ein Online-Tagebuch, eine Begleit-App und mehrfache Symptom-Checks, um die eigenen Fortschritte festhalten, beobachten und auswerten zu können. Es wird in allen Angeboten großen Wert auf die Patientensicherheit gelegt.","F40.01, F41.0","Agoraphobie: Mit Panikstörung, Panikstörung episodisch paroxysmale Angst",599.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",599.0,"Agoraphobia: With panic disorder, panic disorder episodic paroxysmal anxiety","HelloBetter Panic is an interactive psychological therapy program to treat and reduce the symptoms of panic disorder and agoraphobia with panic disorder. A randomized controlled study has been used to demonstrate a positive supply effect for patients with psychotherapeutic prior experience. The 12-week online course provides profound psychoeducation in texts, videos and audios as well as effective strategies from cognitive behavioral therapy (KVT). These include repeated confrontations with internal and external anxiety-causing stimuli, cognitive restructuring, relaxation exercises and a relapse prophylaxis. In addition, there is an online diary, an accompanying app and multiple symptom checks to record, monitor and evaluate your progress. It is important for patient safety in all offers."
